# This file contains the magnetic form factor data for neutron scattering.         
# The form factor is calculated according to the formula:                          
#                                                                                  
# <j0(Qs)> = c + [SUM a_i*EXP(-b_i*(Qs^2)) ]				                   
#                 i=1,4							                           
#                                                                                  
# where Qs = Q/(4*pi) and a_i, b_i, ... are the coefficients stored below.          
# The (a_4,b_4) coefficients can be zero.                                   
#                                                                                  
# The source for the form factor data are:                                         
#  [1] A.-J. Dianoux and G. Lander, Neutron Data Booklet (2003).                   
#  [2] K. Kobayashi, T. Nagao, and M. Ito, Acta Crystallogr. A. 67, 473 (2011).    
#                                                                                  
label        spin   charge     atom       a(1)       b(1)       a(2)       b(2)       a(3)       b(3)       a(4)       b(4)          c
MAM3          0.0        3       Am   0.423900  19.573900   1.457300   5.872200  -0.905200   3.968200   0.000000   0.000000   0.023800
MAM4          0.0        4       Am   0.373700  17.862499   1.352100   6.042600  -0.751400   3.719900   0.000000   0.000000   0.025800
MAM5          0.0        5       Am   0.295600  17.372499   1.452500   6.073400  -0.775500   3.661900   0.000000   0.000000   0.027700
MAM6          0.0        6       Am   0.230200  16.953300   1.486400   6.115900  -0.745700   3.542600   0.000000   0.000000   0.029400
MAM7          0.0        7       Am   0.360100  12.729900   1.964000   5.120300  -1.356000   3.714200   0.000000   0.000000   0.031600
MPR3          0.0        3       Pr   0.050400  24.998900   0.257200  12.037700   0.714200   5.003900   0.000000   0.000000  -0.021900
MO1           0.0        1        O   0.115285  85.197300   0.556229  25.252200   0.332476   6.362070   0.000000   0.000000  -0.004607
JCE2          0.0        2       Ce   0.031972   8.926222   0.265792   7.678510   0.682151   2.329783   0.000000   0.000000   0.020578
JCE2          0.0        2       Ce   0.051183   6.115375   0.277738   7.952485   0.654079   2.287000   0.000000   0.000000   0.016355
JPR3          0.0        3       Pr   0.023288   0.582954   0.349391   5.601756   0.615363   1.932779   0.000000   0.000000   0.011454
JND2          0.0        2       Nd   0.089354   2.282004   0.206157   1.708607   0.669916   2.297662   0.000000   0.000000   0.048390
JND3          0.0        3       Nd   0.073287   4.412361   0.371485   4.019648   0.539459   1.557985   0.000000   0.000000   0.017335
JGD3          3.5        3       Gd   0.060537  10.775218   0.271475  13.097898   0.665241   3.162837   0.000000   0.000000   0.001566
JTB2          0.0        2       Tb   0.049801  18.734161   0.277437  10.084129   0.661194   2.745624   0.000000   0.000000   0.010774
JTB3          0.0        3       Tb   0.049792  15.112189   0.270644   9.158312   0.679388   2.880260   0.000000   0.000000  -0.000131
JDY2          0.0        2       Dy   0.175586   5.938148   0.228867  11.464046   0.583298   2.167554   0.000000   0.000000   0.011186
JDY3          0.0        3       Dy   0.146536  12.639305   0.375822   5.511785   0.515731   2.090789   0.000000   0.000000   0.093576
JHO2          0.0        2       Ho   0.023234   0.703240   0.270745   9.993475   0.677581   2.521403   0.000000   0.000000   0.027101
JHO2          0.0        2       Ho   0.023234   0.703240   0.270745   9.993475   0.677581   2.521403   0.000000   0.000000   0.027101
JHO3          0.0        3       Ho   0.043204   0.910121   0.279392   8.683387   0.668537   2.417518   0.000000   0.000000   0.008207
JER2          0.0        2       Er   0.037734   6.081446   0.256447   9.598846   0.679204   2.139296   0.000000   0.000000   0.025543
JER3          0.0        3       Er   0.038871   5.311772   0.259781   8.173226   0.678414   2.082836   0.000000   0.000000   0.022169
