# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 29  -1 -1.000   Cu  63.5456   7.7180     7.4850     0.550000       8.030      3.780000
 29  63  0.692   Cu  62.9296   6.4300     5.2000     0.006000       5.200      4.500000
 29  65  0.308   Cu  64.9278  10.6100    14.1000     0.400000      14.500      2.170000
 30  -1 -1.000   Zn  65.3964   5.6800     4.0540     0.077000       4.131      1.110000
 30  64  0.486   Zn  63.9291   5.2200     3.4200     0.000000       3.420      0.930000
 30  66  0.279   Zn  65.9260   5.9700     4.4800     0.000000       4.480      0.620000
 30  67  0.041   Zn  66.9271   7.5600     7.1800     0.280000       7.460      6.800000
 30  68  0.188   Zn  67.9248   6.0300     4.5700     0.000000       4.570      1.100000
 30  70  0.006   Zn  69.9253   6.0000     4.5000     0.000000       4.500      0.092000
 31  -1 -1.000   Ga  69.7232   7.2880     6.6750     0.160000       6.830      2.750000
 31  69  0.601   Ga  68.9256   7.8800     7.8000     0.091000       7.890      2.180000
 31  71  0.399   Ga  70.9247   6.4000     5.1500     0.084000       5.230      3.610000
 32  -1 -1.000   Ge  72.6323   8.1850     8.4200     0.180000       8.600      2.200000
 32  70  0.205   Ge  69.9243  10.0000    12.6000     0.000000      12.600      3.000000
 32  72  0.274   Ge  71.9221   8.5100     9.1000     0.000000       9.100      0.800000
 32  73  0.078   Ge  72.9235   5.0200     3.1700     1.500000       4.700     15.100000
 32  74  0.365   Ge  73.9212   7.5800     7.2000     0.000000       7.200      0.400000
 32  76  0.078   Ge  75.9214   8.2000     8.0000     0.000000       8.000      0.160000
 33  -1  1.000   As  74.9216   6.5800     5.4400     0.060000       5.500      4.500000
 34  -1 -1.000   Se  78.9933   7.9700     7.9800     0.320000       8.300     11.700000
 34  74  0.009   Se  73.9225   0.8000     0.1000     0.000000       0.100     51.800000
 34  76  0.090   Se  75.9192  12.2000    18.7000     0.000000      18.700     85.000000
 34  77  0.076   Se  76.9199   8.2500     8.6000     0.050000       8.650     42.000000
 34  78  0.235   Se  77.9173   8.2400     8.5000     0.000000       8.500      0.430000
 34  80  0.496   Se  79.9165   7.4800     7.0300     0.000000       7.030      0.610000
 34  82  0.094   Se  81.9167   6.3400     5.0500     0.000000       5.050      0.044000
 35  -1 -1.000   Br  79.9035   6.7950     5.8000     0.100000       5.900      6.900000
 35  79  0.507   Br  78.9183   6.8000     5.8100     0.150000       5.960     11.000000
 35  81  0.493   Br  80.9163   6.7900     5.7900     0.050000       5.840      2.700000
 36  -1 -1.000   Kr  83.8000   7.8100     7.6700     0.010000       7.680     25.000000
 36  78  0.003   Kr  77.9204      NaN        NaN     0.000000         NaN      6.400000
 36  80  0.022   Kr  79.9164      NaN        NaN     0.000000         NaN     11.800000
 36  82  0.116   Kr  81.9135      NaN        NaN     0.000000         NaN     29.000000
 36  83  0.115   Kr  82.9141      NaN        NaN          NaN         NaN    185.000000
 36  84  0.570   Kr  83.9115      NaN        NaN     0.000000       6.600      0.113000
 36  86  0.173   Kr  85.9106   8.1000     8.2000     0.000000       8.200      0.003000
 37  -1 -1.000   Rb  85.4678   7.0900     6.3200     0.500000       6.800      0.380000
 37  85  0.722   Rb  84.9118   7.0300     6.2000     0.500000       6.700      0.480000
 37  87  0.278   Rb  86.9092   7.2300     6.6000     0.500000       7.100      0.120000
 38  -1 -1.000   Sr  87.6167   7.0200     6.1900     0.060000       6.250      1.280000
 38  84  0.006   Sr  83.9134   7.0000     6.0000     0.000000       6.000      0.870000
 38  86  0.099   Sr  85.9093   5.6700     4.0400     0.000000       4.040      1.040000
 38  87  0.070   Sr  86.9089   7.4000     6.8800     0.500000       7.400     16.000000
 38  88  0.826   Sr  87.9056   7.1500     6.4200     0.000000       6.420      0.058000
 39  -1  1.000    Y  88.9059   7.7500     7.5500     0.150000       7.700      1.280000
 40  -1 -1.000   Zr  91.2213   7.1600     6.4400     0.020000       6.460      0.185000
 40  90  0.515   Zr  89.9047   6.4000     5.1000     0.000000       5.100      0.011000
 40  91  0.113   Zr  90.9056   8.7000     9.5000     0.150000       9.700      1.170000
 40  92  0.172   Zr  91.9050   7.4000     6.9000     0.000000       6.900      0.220000
 40  94  0.173   Zr  93.9063   8.2000     8.4000     0.000000       8.400      0.049900
 40  96  0.028   Zr  95.9083   5.5000     3.8000     0.000000       3.800      0.022900
 41  -1  1.000   Nb  92.9064   7.0540     6.2530     0.002400       6.255      1.150000
 42  -1 -1.000   Mo  95.9313   6.7150     5.6700     0.040000       5.710      2.480000
